Time,Gender,PercentOW,PercentOB
"[1971,1974]",F,10.1,5.1
"[1976,1980]",F,9,5.6
"[1988,1994]",F,13.4,9.8
"[1999,2000]",F,13.4,13.8
"[2001,2002]",F,15,14.3
"[2003,2004]",F,16.3,16
"[2005,2006]",F,14.6,14.9
"[2007,2008]",F,15.4,15.9
"[2009,2010]",F,15.4,15
"[2011,2012]",F,14.5,17.2
"[2013,2014]",F,16,17.1
"[1971,1974]",M,10.3,5.3
"[1976,1980]",M,9.4,5.4
"[1988,1994]",M,12.6,10.2
"[1999,2000]",M,15,14
"[2001,2002]",M,14.2,16.4
"[2003,2004]",M,16.6,18.2
"[2005,2006]",M,14.7,15.9
"[2007,2008]",M,14.3,17.7
"[2009,2010]",M,14.4,18.6
"[2011,2012]",M,15.4,16.7
"[2013,2014]",M,16.4,17.2
"[1971,1974]",All,10.2,5.2
"[1976,1980]",All,9.2,5.5
"[1988,1994]",All,13,10
"[1999,2000]",All,14.2,13.9
"[2001,2002]",All,14.6,15.4
"[2003,2004]",All,16.5,17.1
"[2005,2006]",All,14.6,15.4
"[2007,2008]",All,14.8,16.8
"[2009,2010]",All,14.9,16.9
"[2011,2012]",All,14.9,16.9
"[2013,2014]",All,16.2,17.2
